datetime,airtemp,sun,windspd,winddir,soil10,soil20,soil50,soil100
2009-01-01 01:00:00,-2.5,0,3.8,350,-1.8,-1.5,-0.6,1.5
2009-01-01 02:00:00,-2.7,0,3.8,350,-1.7,-1.4,-0.6,1.5
2009-01-01 03:00:00,-2.8,0,1.6,40,-1.7,-1.3,-0.6,1.5
2009-01-01 04:00:00,-2.4,0,1.2,220,-1.6,-1.3,-0.5,1.5
2009-01-01 05:00:00,-2.2,0,1.8,260,-1.5,-1.2,-0.5,1.5
2009-01-01 06:00:00,-1.9,0,2.7,260,-1.5,-1.2,-0.5,1.4
2009-01-01 07:00:00,-1.6,0,2.6,250,-1.4,-1.1,-0.5,1.4
2009-01-01 08:00:00,-1.3,0,3,250,-1.3,-1.1,-0.5,1.4
2009-01-01 09:00:00,-0.8,2,2.6,260,-1.1,-1,-0.5,1.4
2009-01-01 10:00:00,0,11,3,250,-0.9,-0.9,-0.5,1.4
2009-01-01 11:00:00,0.9,49,3.2,260,-0.7,-0.8,-0.4,1.4
2009-01-01 12:00:00,1.3,58,3.3,260,-0.5,-0.7,-0.4,1.4
2009-01-01 13:00:00,1.7,64,3.3,270,-0.4,-0.6,-0.4,1.4
2009-01-01 14:00:00,0.7,54,3.5,270,-0.4,-0.5,-0.3,1.4
2009-01-01 15:00:00,0.1,23,3.3,270,-0.4,-0.5,-0.3,1.4
2009-01-01 16:00:00,-0.4,5,2.6,250,-0.6,-0.5,-0.3,1.4
2009-01-01 17:00:00,-0.8,0,2.3,240,-0.6,-0.5,-0.3,1.4
2009-01-01 18:00:00,-0.1,0,2,240,-0.6,-0.5,-0.3,1.3
2009-01-01 19:00:00,0.3,0,1.6,240,-0.5,-0.5,-0.3,1.3
2009-01-01 20:00:00,0.4,0,1.4,240,-0.5,-0.5,-0.3,1.3
2009-01-01 21:00:00,0.3,0,1.5,240,-0.4,-0.4,-0.2,1.3
2009-01-01 22:00:00,0.3,0,1.7,230,-0.4,-0.4,-0.2,1.3
2009-01-01 23:00:00,0.3,0,1.6,240,-0.4,-0.4,-0.2,1.3
2009-01-02 00:00:00,0.2,0,1.1,230,-0.4,-0.4,-0.2,1.3
2009-01-02 01:00:00,0.1,0,1.1,230,-0.4,-0.4,-0.2,1.3
2009-01-02 02:00:00,0.2,0,1.1,220,-0.4,-0.4,-0.2,1.3
2009-01-02 03:00:00,0.1,0,1,230,-0.3,-0.4,-0.2,1.3
2009-01-02 04:00:00,0.3,0,0.8,240,-0.3,-0.3,-0.2,1.3
2009-01-02 05:00:00,0.2,0,1,260,-0.3,-0.3,-0.2,1.3
2009-01-02 06:00:00,0,0,2.3,360,-0.3,-0.3,-0.2,1.3
2009-01-02 07:00:00,0.1,0,3.3,30,-0.3,-0.3,-0.2,1.3
2009-01-02 08:00:00,0.3,0,3.7,30,-0.3,-0.3,-0.2,1.3
2009-01-02 09:00:00,0,2,3.5,30,-0.3,-0.3,-0.2,1.3
2009-01-02 10:00:00,0.2,18,4.2,40,-0.3,-0.3,-0.2,1.3
2009-01-02 11:00:00,0.3,27,4.4,40,-0.3,-0.3,-0.2,1.3
2009-01-02 12:00:00,0.6,39,4.4,60,-0.2,-0.3,-0.2,1.3
2009-01-02 13:00:00,1,69,3.7,60,-0.2,-0.3,-0.2,1.3
2009-01-02 14:00:00,1.1,60,3,40,-0.2,-0.3,-0.2,1.3
2009-01-02 15:00:00,0.1,37,3.3,20,-0.3,-0.2,-0.2,1.3
2009-01-02 16:00:00,-1.3,9,3.4,20,-0.7,-0.3,-0.1,1.3
2009-01-02 17:00:00,-2.3,0,2.1,30,-1.3,-0.4,-0.1,1.3
2009-01-02 18:00:00,-2.9,0,1,330,-1.7,-0.6,-0.1,1.2
2009-01-02 19:00:00,-6.1,0,1.9,360,-2.1,-0.9,-0.2,1.2
2009-01-02 20:00:00,-6.1,0,0.4,140,-2.4,-1.1,-0.2,1.2
2009-01-02 21:00:00,-6,0,1.1,230,-2.7,-1.4,-0.3,1.2
2009-01-02 22:00:00,-7.5,0,0.7,260,-3.1,-1.7,-0.3,1.2
2009-01-02 23:00:00,-7.1,0,0.9,270,-3.3,-1.9,-0.4,1.2
2009-01-03 00:00:00,-7.1,0,0.8,220,-3.5,-2.2,-0.6,1.2
2009-01-03 01:00:00,-8,0,1,230,-3.8,-2.4,-0.7,1.2
2009-01-03 02:00:00,-7.6,0,1.4,220,-4,-2.6,-0.8,1.2
2009-01-03 03:00:00,-4.9,0,1.4,220,-3.4,-2.6,-0.9,1.2
2009-01-03 04:00:00,-3.1,0,1.3,210,-2.9,-2.3,-0.9,1.2
2009-01-03 05:00:00,-2.5,0,1.8,240,-2.5,-2.1,-0.9,1.2
2009-01-03 06:00:00,-2.5,0,2.3,260,-2.3,-1.9,-0.8,1.2
2009-01-03 07:00:00,-2.5,0,2.5,240,-2.1,-1.7,-0.8,1.2
